,0
569,어디
570,보고서
571,"뜻밖에,의외"
572,"뒤떨어지다,뒤지다"
573,"말실수,실언,실구,실어"
574,"말실수,실언,실구,실어"
575,"시키다,지시,하여금"
576,낚다
577,굴구멍
578,"여름,주하"
579,"여기,이곳,이쪽,이거,이것"
580,송년회
581,총무
582,총명
583,"첫째,첫번째"
584,"얼굴,낯,안면"
585,박사
586,연구
587,소방서
588,맛이쓰다
589,일요일
590,소매
591,부정
592,"월경,생리,달거리"
593,"어제,어저께,작일"
594,"어머니,모친,어미,엄마"
595,커피
596,양심
597,양식
598,온도
599,아시아
600,"인상,용모,표정"
601,중국
602,얌체
603,엉뚱하다
604,"작년,지난해,과년,거년,전년"
605,속도계
606,세배
607,"세로,종"
608,세뇌
609,책사전
610,자동
611,자각
612,"봄,양중"
613,반성
614,엄하다
615,"자장면,짜장면"
616,의지
617,절충
618,"코치,지도자"
619,"코미디,희극"
620,그대로
621,외상
622,"왜,어째서"
623,"오다,도래"
624,사병
625,"위하다,러"
626,적십자
627,저혈압
628,정부
629,고추장
630,고추
631,교육청
632,메기
633,"멍하다,멍하니"
634,"교육대학교,교육대학"
635,뜨개질
636,멋쟁이
637,"죽이다,해치다"
638,둘러대다
639,고모
640,"똑똑하다,영리하다"
641,두통
642,"다스리다,통치"
643,간접
644,"결핵,폐결핵,폐병"
645,"깊다,깊숙하다"
646,기념식
647,기념
648,칫솔
649,"어떻게,어찌"
650,이씨
651,"어느,무엇,어떤,무슨,뭐,아무,어디"
652,"어긋나다,엇갈리다"
653,"신청,주문"
654,중학교
655,이발사
656,이발
657,이모
658,이마
659,스웨터
660,윤씨
661,코
662,치약
663,예술
664,"천국,천당"
665,주일
666,"주위,주변,둘레"
667,"겨레,동포"
668,동메달
669,"가을,금추"
670,단위의등
671,고구려
672,계획
673,"간,간장"
674,"각오,결심,작정"
675,가지
676,"겪다,당하다,던,았었,적"
677,딸기
678,"북한,이북"
679,"느끼다,느낌,뉘앙스"
680,뉘우치다
681,"믿다,믿음,신뢰,신용"
682,교회
683,긍정
684,괘씸하다
685,면접
686,면세
687,매니큐어
688,동양
689,계율
690,망신을당하다
691,몽골
692,"스님,승려"
693,"쉽다,용이하다,쉽사리,손쉽다"
694,수술
695,"돌다,미치다"
696,"마치,척하다,체하다,처럼"
697,도깨비
698,높다
699,무의미
700,무안
701,무심
702,"너,네,자네"
703,"내일,명일"
704,보도
705,보다
706,"보고,아뢰다"
707,"든지,든가"
708,"갈증,목마르다,목이타다"
709,닦다
710,"미용실,미용원,미장원"
711,교실
712,교수
713,미용사
714,마음에들다
715,"마음,심리,심정"
716,수레
717,독립문
718,대회
719,대학생
720,"대학교,대학"
721,"빨강,빨갛다,적자,적색"
722,"녹음기,녹음,레코드,카세트"
723,"내외,안팎"
724,"내복,내의,속옷"
725,"말,말하다,언어"
726,목메다
727,독감
728,"독,독하다"
729,신고
730,"신경질,짜증"
731,지렁이
732,"이해,납득,양해"
733,이의
734,시다
735,공감
736,"생각이통하다,동감"
737,"살인범,살해범"
738,선구자
739,왠지
740,왜냐하면
741,말썽
742,"말다툼,언쟁,말싸움,설전,입씨름"
743,목탁
744,"보상금,배상금"
745,"보리쌀,보리"
746,한량
747,새우
748,"대학,대학교"
749,대추
750,"내년,명년,이듬해,다음해"
751,변명
752,불교
753,목
754,모자관계
755,순교
756,돌파
757,서양
758,"서로,상호"
759,신체의눈
760,러시아
761,"복판,가운데,중심,한가운데"
762,"친자,친자식"
763,친권
764,아이스케이크
765,"실업자,실직자"
766,소대장
767,기온이오르다
768,기발하다
769,기념일
770,"참가자,참가인"
771,직면
772,"증,마크,증"
773,"임신,회임"
774,칼국수
775,낚시터
776,"낚시,낚시질"
777,"극복,이겨냄"
778,굴조개
779,"현혹,사로잡히다"
780,"친어머니,생모"
781,"친아버지,생부"
782,"곱,곱하기,곱하다"
783,곰보
784,"나침반,나침판"
785,나오다
786,"나서다,선두,앞서다,앞장,앞장서다"
787,"나쁘다,악,못되다,악하다"
788,꾀다
789,"꾀,계책"
790,탑골공원
791,고춧가루
792,"휴대전화,핸드폰,휴대폰,휴대전화기"
793,대리인
794,증인
795,팔꿈치
796,"수전노,구두쇠"
797,"부모님,부모,양친,어버이"
798,"멋지다,멋"
799,푼
800,"조명,판단"
801,"사관,장교"
802,과학자
803,"혼령,심령,영혼,혼"
804,걸리다
805,"갚다,상환,배상"
806,과학
807,"결손,손해,손실"
808,일월일일
809,제일이다
810,악인
811,"입증,증명"
812,"듯하다,듯싶다"
813,내몰다
814,보증금
815,겉멋
816,희생자
817,"일백,백"
818,원룸
819,안과
820,"발군,빼어나다"
821,내게
822,배후
823,예술가
824,연구실
825,연구소
826,영하
827,"엑스선,엑스레이"
828,"산화,희생"
829,정신
830,적없다
831,띵하다
832,자원봉사자
833,"마이너스,감표,덜기,빼기,빼기표,뺄셈표,뺄셈부호"
834,회개
835,결핵균
836,"상하다,다치다,부상,상처,손상"
837,"소수점,점"
838,세뱃돈
839,미치광이
840,결단
841,"양치질,양치"
842,"가리다,고르다,선별"
843,건전
844,동반자
845,밑지다
846,광
847,"함께,같이,동반,랑,아울러,더불다,끼리"
848,한글지문자
849,한글날
850,한강
851,학년
852,해부
853,"발개지다,붉히다"
854,천명
855,"중화요리,청요리"
856,"적색,붉은색,빨간색"
857,"현기증,어지럼증"
858,"혀,혓바닥"
859,"헬리콥터,헬기"
860,"허식,헛치레"
861,호박
862,협동
863,혈육
864,"혈액형,혈액군,혈형"
865,혈안
866,"허다하다,많다,매우많다"
867,개의
868,"개안,깨닫다"
869,행정고시
870,피해자
871,음식에간을맞추다
872,"겨울옷,동복"
873,돌출
874,독재
875,"글,글자,자"
876,두드러지다
877,"멍청이,멍청하다"
878,"띄다,뜨이다"
879,투명
880,퇴장
881,통하다
882,폐백
883,펜싱
884,탑
885,끊어지다
886,"누설,유출"
887,냉정
888,교차점
889,"관청,관헌"
890,공산당
891,"공박,문초,심문,추궁,캐어묻다"
892,증명서
893,"중학생,중교생,중등생"
894,정책
895,장미꽃
896,통과
897,토마토
898,턱
899,태국
900,파악
901,"피,출혈,혈,혈액"
902,"표창,포상"
903,"그렇다,그러하다"
904,인도공화국
905,"여자를유혹,유혹하다"
906,"서두르다,긴급,독촉,재촉,응급,급하다,시급하다"
907,고무신
908,"호주,오스트레일리아"
909,스위스
910,의성어
911,"오디오,듣다,소식,청각"
912,충치
913,백혈병
914,간호사
915,강도
916,밝히다
917,"슬기롭다,슬기,지혜,현명"
918,"가령,만약"
919,"수갑,체포,쇠고랑"
920,"노랑,노랗다,누렇다"
921,"서대문,돈의문"
922,"커닝,부정행위"
923,사이다
924,안개
925,떡
926,뉴스
927,"남자를유혹,유혹하다"
928,"절도,도둑,도적,훔치다"
929,"들키다,발각"
930,설렁탕
931,마스크
932,백조
933,"소란,소요,소음,야단,요란,시끄럽다"
934,"절약,검약"
935,민주
936,황해
937,백화
938,조르다
939,양
940,여행
941,"입,이론"
942,사립
943,신부
944,"사정,정액"
945,"연수,수련"
946,"얼음,얼음장"
947,코뿔소
948,"정신차리다,가다듬다"
949,정보
950,"물음표,미지수,설마"
951,경고
952,두부
953,구름
954,은메달
955,은
956,스캐너
957,참외
958,"멧돼지,산돼지"
959,"교과서,교본"
960,견인
961,멸치
962,떡국
963,가짜
964,"구급차,응급차,앰뷸런스"
965,면도
966,매
967,돈벌이
968,마주치다
969,수상하다
970,"듣다,소리,소식,청각"
971,"가발,덧머리"
972,"생각,견해,사고,신경,의견,의사,의식,여기다"
973,"더럽다,때,불결,지저분하다"
974,붕대
975,목자
976,창백하다
977,"협박,할뻔하다"
978,"수리,독수리"
979,파리하다
980,목적
981,무
982,눈이내리다
983,청각장애인
984,"백지,용지,종이"
985,"초문,금시초문"
986,"쇼크,충격"
987,"정신적장애,정신장애"
988,"거짓,허위"
989,나그네
990,"끈기,끈덕지다,끈질기다"
991,"황금,금"
992,절도죄
993,절도범
994,치과의사
995,"공책,노트"
996,"개인,사"
997,금메달
998,힌두교
999,"노란색,황색"
1000,장어
1001,개나리
1002,여행지
1003,여행사
1004,청자
1005,"백,하양,하얗다,허옇다,희다,백색,흰색,치아,이,이빨"
1006,여행자
1007,"이론,논하다,설"
1008,목적지
1009,"학원,배움터"
1010,강습
1011,"마르다,야위다,여위다,수척하다"
1012,"은빛,은색"
1013,갈다
1014,황해도
1015,관광객
1016,강습소
1017,표어
1018,허풍
1019,"현행범,현행범인"
1020,"금가락지,금반지"
1021,"금색,황금색,골드색"
1022,잠그다
1023,웨딩드레스
1024,항복
1025,"십육,열여섯"
1026,십만
1027,고집
1028,"열하나,십일"
1029,십일월
1030,"십,열"
1031,간음
1032,"집요하다,끈덕지다"
1033,연맹
1034,엿
1035,서대문
1036,자르다
1037,미국
1038,멕시코
1039,"둘,이"
1040,수면제
1041,자동차에승차
1042,버스에승차
1043,"나체의맨몸,나체,알몸"
1044,ㅠ
1045,ㄷ
1046,이단
1047,ㄸ
1048,"드러눕다,누이다,눕다,눕히다"
1049,"소경,맹인,장님,시각장애인"
1050,"배회,방황,돌아다니다,헤매다"
1051,입장
1052,다람쥐
1053,이월
1054,"미군,미국군"
1055,"기상,일어나다,일어서다,서다,독립"
1056,둘중어느것
1057,"떨다,떨리다,떨림"
1058,"둘,이"
1059,"되돌아오다,돌아오다,귀환"
1060,ㅆ
1061,인도네시아
1062,"이틀,이틀후"
1063,"의자,걸상"
1064,ㅛ
1065,ㅕ
1066,"실명,맹"
1067,"승강기,엘리베이터"
1068,슬로베니아
1069,ㅅ
1070,북아일랜드
1071,"정류장,승차장,정거장,정류소"
1072,페루
1073,"피차,둘이"
1074,리투아니아
1075,"되돌아가다,돌아가다"
1076,ㅑ
1077,"돌아서다,갈다,교체하다,대체하다"
1078,"찌푸리다,근심"
1079,"재작년,거거년,전전년,전전해,지지난해,재작년도"
1080,"좌석,자리"
1081,출마
1082,세미나
1083,"쌓다,쌓이다"
1084,첩
1085,"착각,착오"
1086,"읽다,읽기"
1087,오스트리아
1088,"배,갑절,곱,곱절"
1089,승천
1090,"외롭다,고독,쓸쓸하다"
1091,"모레,내일모레,이틀,이틀후"
1092,"맹학교,맹인학교"
1093,"둘째,두번째"
1094,"간첩,스파이,첩자"
1095,겸하다
1096,신체의다리
1097,"절다,절룩거리다,절름거리다"
1098,"인천,인천시"
1099,중위
1100,전폐
1101,스키
1102,"등호,등표"
1103,등산
1104,"가위,가위질"
1105,"국수,면"
1106,달러
1107,"광화문,우물"
1108,"넘어지다,쓰러지다"
1109,베트남
1110,베네수엘라
1111,마주보다
1112,뛰다
1113,다이빙
1114,"내리다,하차"
1115,"말,승마"
